,data_size,db_name,op_type,method,memory,cache_used,real_time,cpu_time,average_time,memory_used
0,10,psql,select,one_each,,No,0.023519835000115563,0.008851174999989553,,0
1,10,psql,select,one_each,,Yes,0.042493928999647324,0.011750491999990231,,0
2,10,sqlite,select,one_each,,No,0.0028689609998764354,0.003129341000004615,,0
3,10,sqlite,select,one_each,,Yes,0.002143088000593707,0.002350077999992095,,0
4,10,mongo,select,one_each,,No,0.026130023999940022,0.02383003799999983,,0
5,10,mongo,select,one_each,,Yes,0.011488868000014918,0.012660042000007365,,0
6,10,duck,select,one_each,,No,0.0031616179994671256,0.0032098949999976867,,0
7,10,duck,select,one_each,,Yes,0.001967704999515263,0.0021621910000106936,,0
