,data_size,db_name,op_type,method,memory,cache_used,real_time,cpu_time,average_time,memory_used
0,10,psql,select,at_once,,No,0.0024583829999755835,0.0018049879999892937,,0
1,10,psql,select,at_once,,Yes,0.0028673469996647327,0.001994455000001949,,0
2,10,sqlite,select,at_once,,No,0.00165551299960498,0.002149127999999223,,0
3,10,sqlite,select,at_once,,Yes,0.0013168539999242057,0.0015313540000079229,,0
4,10,mongo,select,at_once,,No,0.3783084820006479,0.016996753000000808,,0
5,10,mongo,select,at_once,,Yes,0.4209105619993352,0.016764640000005215,,0
6,10,duck,select,at_once,,No,0.0012936220000483445,0.001416353999999842,,0
7,10,duck,select,at_once,,Yes,0.0013002559999222285,0.0014509309999937159,,0
