,data_size,db_name,op_type,method,memory,cache_used,real_time,cpu_time,average_time,memory_used
0,10,psql,select,one_each,,No,0.014525221999974747,0.005922932000004266,,0
1,10,psql,select,one_each,,Yes,0.01597720100016886,0.006168909999999528,,0
2,10,sqlite,select,one_each,,No,0.002326060000086727,0.0029603119999990213,,0
3,10,sqlite,select,one_each,,Yes,0.0016713799996068701,0.001915830000001506,,0
4,10,mongo,select,one_each,,No,0.022216507999473833,0.02047770800000137,,0
5,10,mongo,select,one_each,,Yes,0.01073573200028477,0.011820884000002252,,0
6,10,duck,select,one_each,,No,0.0020522920003713807,0.002207583000000568,,0
7,10,duck,select,one_each,,Yes,0.002242223999928683,0.002257950000000619,,0
