,data_size,db_name,op_type,method,memory,cache_used,real_time,cpu_time,average_time,memory_used
0,10,psql,select,one_each,,No,0.016761677999966196,0.006421107000008419,,0
1,10,psql,select,one_each,,Yes,0.019054983000387438,0.007957658999998785,,0
2,10,sqlite,select,one_each,,No,0.00226044900045963,0.002417030000003706,,0
3,10,sqlite,select,one_each,,Yes,0.0016667199997755233,0.001874563000001217,,0
4,10,mongo,select,one_each,,No,0.4343333690003419,0.045463959000002774,,0
5,10,mongo,select,one_each,,Yes,0.45715500300048006,0.033855905999999436,,0
6,10,duck,select,one_each,,No,0.001794707000044582,0.0019509029999937866,,0
7,10,duck,select,one_each,,Yes,0.0017324390000794665,0.001848933000005104,,0
