,data_size,db_name,op_type,method,memory,cache_used,real_time,cpu_time,average_time,memory_used
0,10,psql,select,at_once,,No,0.0025426460006201523,0.002046806999999262,,0
1,10,psql,select,at_once,,Yes,0.002519632000257843,0.00184347700000842,,0
2,10,sqlite,select,at_once,,No,0.0014527479997923365,0.0016602500000004738,,0
3,10,sqlite,select,at_once,,Yes,0.0011316899999656016,0.0013475540000058572,,0
4,10,mongo,select,at_once,,No,0.006620472000577138,0.006578484999991474,,0
5,10,mongo,select,at_once,,Yes,0.005712273999961326,0.0052119919999995545,,0
6,10,duck,select,at_once,,No,0.001593199000126333,0.0017434769999908895,,0
7,10,duck,select,at_once,,Yes,0.0012433929996404913,0.0014310690000058912,,0
