,data_size,db_name,op_type,method,memory,cache_used,real_time,cpu_time,average_time,memory_used
0,10,psql,select,at_once,,No,0.002721823999308981,0.0018796720000011646,,0
1,10,psql,select,at_once,,Yes,0.002152578999812249,0.001609457999990127,,0
2,10,sqlite,select,at_once,,No,0.0009905340002660523,0.0011343440000075589,,0
3,10,sqlite,select,at_once,,Yes,0.001262343999769655,0.001557091999998761,,0
4,10,mongo,select,at_once,,No,0.3773322030001509,0.013253729999988195,,0
5,10,mongo,select,at_once,,Yes,0.42478615599975456,0.02003410400000405,,0
6,10,duck,select,at_once,,No,0.0010975330005749129,0.0011705839999933687,,0
7,10,duck,select,at_once,,Yes,0.0011626320001596469,0.0013235959999917668,,0
