,data_size,db_name,op_type,method,memory,cache_used,real_time,cpu_time,average_time,memory_used
0,10,psql,select,one_each,,No,0.017235753999557346,0.006402679000004241,,0
1,10,psql,select,one_each,,Yes,0.017908238000018173,0.006919229999994059,,0
2,10,sqlite,select,one_each,,No,0.0014671919998363592,0.0016327780000011671,,0
3,10,sqlite,select,one_each,,Yes,0.001316386999860697,0.0015008740000013177,,0
4,10,mongo,select,one_each,,No,0.02479312299965386,0.022175261000001,,0
5,10,mongo,select,one_each,,Yes,0.011098932000095374,0.012385066000007328,,0
6,10,duck,select,one_each,,No,0.002135639000698575,0.002314122000001362,,0
7,10,duck,select,one_each,,Yes,0.0018795380001392914,0.002027927000000318,,0
