,data_size,db_name,op_type,method,real_time,cpu_time
0,10,psql,update,open_connection,0.003151138999783143,0.0019180230000017673
1,10,psql,update,close_connection,0.05981179799982783,0.010269973000006871
2,10,sqlite,update,open_connection,0.0018206180002380279,0.002023101999995447
3,10,sqlite,update,close_connection,0.028153502000350272,0.00753267000000335
4,10,mongo,update,open_connection,0.004850125000302796,0.0038439709999948946
5,10,mongo,update,close_connection,0.024841394999384647,0.02266792100000714
6,10,duck,update,open_connection,0.02318897800068953,0.01793014599999765
7,10,duck,update,close_connection,0.18543613600013487,0.15883418100000313
8,20,psql,update,open_connection,0.002712542000153917,0.0016053260000035152
9,20,psql,update,close_connection,0.08785060399986833,0.019869037999995953
10,20,sqlite,update,open_connection,0.001421908999873267,0.0016381800000004887
11,20,sqlite,update,close_connection,0.03754604699952324,0.0091250980000126
12,20,mongo,update,open_connection,0.005742108999584161,0.004119693000006919
13,20,mongo,update,close_connection,0.04583154499960074,0.0434563960000105
14,20,duck,update,open_connection,0.06321721099993738,0.04424182900000062
15,20,duck,update,close_connection,0.3213630159998502,0.28537873399999114
