,data_size,db_name,op_type,method,memory,cache_used,real_time,cpu_time,average_time,memory_used
0,10,psql,select,at_once,,No,0.0025149610000880784,0.0017176909999960799,,0
1,10,psql,select,at_once,,Yes,0.0027255060003881226,0.0021198379999987083,,0
2,10,sqlite,select,at_once,,No,0.0012372199998935685,0.0014357270000004974,,0
3,10,sqlite,select,at_once,,Yes,0.001001358000394248,0.0011788130000098818,,0
4,10,mongo,select,at_once,,No,0.006542864000039117,0.006490564000003474,,0
5,10,mongo,select,at_once,,Yes,0.006216945999767631,0.006136622999989072,,0
6,10,duck,select,at_once,,No,0.001570466999510245,0.0017434339999908843,,0
7,10,duck,select,at_once,,Yes,0.0016115500002342742,0.0018289730000020654,,0
