,data_size,db_name,op_type,method,memory,cache_used,real_time,cpu_time,average_time,memory_used
0,10,psql,select,one_each,,No,0.017208021999977063,0.006260623999992276,,0
1,10,psql,select,one_each,,Yes,0.016387216000111948,0.006356343999996739,,0
2,10,sqlite,select,one_each,,No,0.001664663000155997,0.0018431849999984706,,0
3,10,sqlite,select,one_each,,Yes,0.001731911999740987,0.0019745400000061863,,0
4,10,mongo,select,one_each,,No,0.048171389999879466,0.02283567899999639,,0
5,10,mongo,select,one_each,,Yes,0.04919654800050921,0.024121282999999494,,0
6,10,duck,select,one_each,,No,0.0020928559997628327,0.002259214000005727,,0
7,10,duck,select,one_each,,Yes,0.0016592980000496027,0.0017937080000081096,,0
