,data_size,db_name,op_type,method,memory,cache_used,real_time,cpu_time,average_time,memory_used
0,10,psql,select,at_once,,No,0.002576613999735855,0.001736958000009281,,0
1,10,psql,select,at_once,,Yes,0.002963483999337768,0.0020851430000021764,,0
2,10,sqlite,select,at_once,,No,0.0013131570003679371,0.0014944499999955951,,0
3,10,sqlite,select,at_once,,Yes,0.0013012760000492563,0.0015235520000089764,,0
4,10,mongo,select,at_once,,No,0.3798286100000041,0.015386661000007962,,0
5,10,mongo,select,at_once,,Yes,0.4254355469993243,0.02036970800000404,,0
6,10,duck,select,at_once,,No,0.0014639379996879143,0.0016257770000009941,,0
7,10,duck,select,at_once,,Yes,0.0013614669996968587,0.001581611000005978,,0
