,data_size,db_name,op_type,method,memory,cache_used,real_time,cpu_time,average_time,memory_used
0,10,psql,select,at_once,,No,0.003907741000148235,0.0025482269999912432,,0
1,10,psql,select,at_once,,Yes,0.0036975370003347052,0.0026472289999901477,,0
2,10,sqlite,select,at_once,,No,0.0014606269996875199,0.0016617489999930513,,0
3,10,sqlite,select,at_once,,Yes,0.0012118320000809035,0.001428524000004927,,0
4,10,mongo,select,at_once,,No,0.0051976689992443426,0.004787053000001151,,0
5,10,mongo,select,at_once,,Yes,0.005523789000108081,0.005371861000000422,,0
6,10,duck,select,at_once,,No,0.0015094290001798072,0.001511606999997639,,0
7,10,duck,select,at_once,,Yes,0.0015243409998220159,0.0017084919999916792,,0
