,data_size,db_name,op_type,method,memory,cache_used,real_time,cpu_time,average_time,memory_used
0,10,psql,select,at_once,,No,0.002761880999969435,0.00202190299999927,,0
1,10,psql,select,at_once,,Yes,0.003107426000497071,0.002096230999995896,,0
2,10,sqlite,select,at_once,,No,0.001237612000295485,0.0014450430000039205,,0
3,10,sqlite,select,at_once,,Yes,0.0010941810005533625,0.001291750999996566,,0
4,10,mongo,select,at_once,,No,0.3796363579995159,0.014945807999993121,,0
5,10,mongo,select,at_once,,Yes,0.4237489879997156,0.01921127399999989,,0
6,10,duck,select,at_once,,No,0.0014397300001292024,0.0015981359999983624,,0
7,10,duck,select,at_once,,Yes,0.0010897120000663563,0.0012365620000025501,,0
