,data_size,db_name,op_type,method,memory,cache_used,real_time,cpu_time,average_time,memory_used
0,10,psql,select,one_each,,No,0.01652015399940865,0.0055355859999934864,,0
1,10,psql,select,one_each,,Yes,0.01600824399974954,0.006233739999998988,,0
2,10,sqlite,select,one_each,,No,0.0014484399998764275,0.0015734649999927797,,0
3,10,sqlite,select,one_each,,Yes,0.0016272189996016095,0.0018555219999996098,,0
4,10,mongo,select,one_each,,No,0.386873813999955,0.03377861599999221,,0
5,10,mongo,select,one_each,,Yes,0.4138739709997026,0.032848025999996366,,0
6,10,duck,select,one_each,,No,0.0021140279995961464,0.0022690089999883867,,0
7,10,duck,select,one_each,,Yes,0.0017046709999704035,0.0018790769999981194,,0
