,data_size,op_type,db_name,real_time,cpu_time,average_time
0,20,delete,psql,0.010004818000197702,0.003541216999998653,0.004153389999373758
1,20,delete,sqlite,0.011717944999872998,0.004012909000003617,0.004612259000168706
2,20,delete,mongo,0.011034991999622434,0.007603445000000875,0.005039456999838876
3,20,delete,duck,0.031020798000099603,0.028723951999999997,0.009958164999261498
4,20,insert,psql,0.06491815399931511,0.02069941599999936,
5,20,insert,psql,0.07914391999929649,0.027468118999998126,
6,20,insert,sqlite,0.0792940589999489,0.02396883799999472,
7,20,insert,sqlite,0.04032900400034123,0.01582179300000064,
8,20,insert,mongo,0.04410010900028283,0.04256469599999946,
9,20,insert,mongo,0.04512736400010908,0.041387620999998376,
10,20,insert,duck,0.7451663369993184,0.6983614609999975,
11,20,insert,duck,0.7389888140005496,0.687274838999997,
12,20,insert,psql,0.005258513000626408,0.0026940590000066322,
13,20,insert,psql,0.009443214999919292,0.004341699999997672,
14,20,insert,sqlite,0.004133954000280937,0.002697984999997516,
15,20,insert,sqlite,0.004722757999843452,0.0036423450000029334,
16,20,insert,mongo,0.005445013999633375,0.0055719940000074075,
17,20,insert,mongo,0.006873170000289974,0.00711605000000759,
18,20,insert,duck,0.07057762099975662,0.06267281300000604,
19,20,insert,duck,0.07689270399987436,0.0701923459999989,
20,20,insert,psql,0.007061526000143203,0.004712822000001893,
21,20,insert,psql,0.0108233350001683,0.00501058500000795,
22,20,insert,sqlite,0.005765357999734988,0.004752636000006305,
23,20,insert,sqlite,0.005569822999859753,0.004225304000001984,
24,20,insert,mongo,0.004986349999853701,0.0054074349999950755,
25,20,insert,mongo,0.006306116000814654,0.006605767000010587,
26,20,insert,duck,0.07323805899977742,0.06529280099999824,
27,20,insert,duck,0.0787700090004364,0.0729194270000022,
28,20,select,psql,0.003130475000034494,0.0017256579999980204,0.0035201839991714223
29,20,select,sqlite,0.00030740700003661914,0.0002893129999961275,0.00014124300014373148
30,20,select,mongo,0.002632828000059817,0.0023774699999989934,0.002055517999906442
31,20,select,duck,0.006909101000019291,0.00718861000000004,0.006623711999964144
32,20,update,psql,0.002479241999935766,0.000585907999990809,0.002090025000143214
33,20,update,sqlite,0.00022113399973022752,0.0002210100000041848,0.00012483499995141756
34,20,update,mongo,0.0025601139996069833,0.0022592389999971374,0.00244865500008018
35,20,update,duck,0.007657955000468064,0.00796401300000582,0.006024768000315817
